id,epic,priority,owner,name,story,acceptance_criteria,related_issues,subtasks,defects,status,allocated_to,scrum,source
B6,B,P1,BE,“Done” means the same thing everywhere I look,"As a project manager, I want a completed task to report the same progress on every screen, because a task marked complete that reports zero finished items destroys my confidence in every other number the platform shows me.","1. The rule for “this item is finished” is the same rule used by task completion and by the export list.
2. A completed task never shows a contradictory item count.
3. Status values shown to me correspond to states the workflow can actually reach.","**Issue 19** (task completion and export readiness disagree on “done”) — the story cannot pass while two different definitions exist, so the two rules must be unified into one.
**Issue 27** (export-eligibility list names an impossible “approved” status) — cleaned up in the same change, since the story requires the states shown to be states that can genuinely occur.","1. Write one is_item_finished() predicate and use it for both task completion and export eligibility.
2. Reconcile task_service.py:82 (accepts reviewed, approved and canonicalized) with project_exports_service.py:55 (counts only canonicalized) (issue 19).
3. Remove ""approved"" from FINALIZED_EXPORTABLE_TASK_ITEM_STATUSES at task_service.py:83 — it is not a member of the status enum (issue 27).
4. Add a test that a task marked complete never reports zero completed items in its export package.","19,27",done,Dishank Aswal,SCRUM-43,shipped
B7,B,P1,BE,Each record in my dataset becomes its own item,"As a project manager, I want a JSONL dataset split into one item per source record, with the field to annotate chosen by the task, because the client's datasets arrive as JSONL and treating a whole file as one item makes them unusable without hand-preprocessing.","1. Importing a JSONL file creates one item per record, not one item per file.
2. The task defines which part of a record is the annotation payload; the AI and the human annotator receive only that payload, never the whole record.
3. Metadata such as external_item_ref, split and source_record_id stays attached to the item for provenance, with a source reference stable enough to identify the exact source and version.
4. Evaluation-only fields such as gold_annotations are stored but never shown to annotators or sent to the AI.","No open defects catalogued — found by Yi on 2026-09-21: the text picker lists .jsonl, but intake treats each uploaded file as one task item, so FewNERD records had to be copied into .txt files by hand.
**Client answers R1-1 and its follow-up (2026-09-21/24)** — “Direct import of the provided JSONL datasets should be in scope”; one source record = one item; “the annotation target should be determined by the task/schema, not by the AI”: source record → task/schema projection → annotation payload. No universal data-mapping engine — whether the owner defines the input schema or supported types provide adapters is ours to propose (an ADR).
**R2-5** — the stable source reference is part of the minimum provenance of a released item.","1. Write the ADR: owner-defined input schema versus per-type adapters, and how a task names its annotation payload.
2. Split a .jsonl upload into one item per record inside B5's all-or-nothing registration.
3. Store the full source record for provenance and project only the task's payload into the draft and the AI prompt.
4. Keep gold_annotations out of annotator views and AI calls; keep it available to I1's evaluation harness.
5. Test with the FewNERD sample: one item per record, payload_preview.text shown, gold_annotations never sent.",,,Yi Geng,SCRUM-111,added
B8,B,P2,BE/FE,"My task chooses how people annotate it, not a hard-coded subtype","As a project manager, I want to choose my task's annotation surface from the editors the platform supports, with subtypes kept only as starting templates, because a task defined by its data, instructions and output schema should not need a new hard-coded subtype to be annotated.","1. A task records an annotation_type, chosen at creation from the supported editors.
2. Result mapping on the backend and the editor on the draft and review pages both follow the task's annotation_type.
3. Subtypes remain available only as optional templates for instructions and output schema, which I can edit.
4. Choosing an annotation_type whose editor cannot render my output schema is refused with a clear reason.","No open defects — a follow-on to **B3**. Drafts and annotations already carry an annotation_type field, but it is not a task-level setting; today task_class, task_type and task_subtype decide the result format and the editor.
**Client answer R2-6 (2026-09-24)** — accepted our proposal: the subtype becomes “an optional starting template rather than part of the task ontology”; annotation_type is “the human annotation surface / result representation, not the task itself”. A genuinely new type needs explicit implementation only for a new interaction surface or different system behaviour.","1. Write the ADR recording the decision and the supported annotation types.
2. Add annotation_type to the task model and TaskCreate, and select it on the task form.
3. Drive backend result mapping and the frontend editor choice from the task's annotation_type instead of task_subtype.
4. Keep subtype templates as editable starting points for instructions and output schema.
5. Test that a task's drafts and review page use the editor its annotation_type names.",,,Yi Geng,SCRUM-112,added
C1,C,P1,BE,The AI assistant can be swapped without disrupting my work,"As a project manager, I want the platform's AI assistant to be replaceable, because the client intends to move from a mock to open-source or self-hosted models later and I don't want the workflow rebuilt when that happens.","1. The mock AI assistant can be replaced with a different one without changing any review, dispute or export behaviour.
2. Which assistant and version produced a suggestion is recorded against the item.
3. Everything downstream treats an AI suggestion as a suggestion, never as a finished answer.","No open defects — this is net-new capability the brief calls for (“a replaceable, typed model interface, with mock and live modes interchangeable”).","1. Define an AnnotationAssistant protocol, with MockAssistant as the default and GeminiPreannotator moved behind it.
2. Adopt the MVP's candidate envelope as the return type: payload_schema_version, model_version, and candidates carrying task_item_id plus candidate_output.
3. Replace the hand-rolled urllib call to Gemini with an OpenAI-compatible client so a local Ollama model and a hosted provider share one path.
4. Record provider, model and version against every suggestion, and keep the registry in one place — the MVP duplicates it four times.
5. Port TextAnalyzer's four text tasks from labeling_ai_assistnat_mvp, dropping its LLM-inferred field mapping and its writing of results to files.
6. Check nothing downstream treats a suggestion as a finished answer.",,done,"Yi Geng, Michael Max",SCRUM-6,shipped
C2,C,P0,BE,A large batch of items gets AI-annotated reliably,"As a project manager, I want to request AI annotation across a whole task and have it complete reliably in the background, because with a thousand items I can't sit and wait, and one failed item must not sink the batch.","1. I can trigger AI annotation for a task and keep working while it runs.
2. Temporary failures are retried automatically; items that permanently fail are shown to me as failed rather than dropped.
3. I can see how much of the batch is done, in progress or stuck.","No open defects — net-new. The client raised this as the central engineering requirement (retries, failed jobs, dead-letter handling, “a classic distributed system problem”), and there is currently no queue of any kind.","1. Choose the queue — a DB-backed job table with a worker loop, or a broker — and write the decision down.
2. Add a job table carrying attempt count, last error and a terminal state.
3. Move the assist call out of task_service.py:445, where it runs synchronously inside dataset registration.
4. Retry transient failures with backoff; send permanent failures to a dead-letter state that stays visible rather than dropped.
5. Expose batch progress per task: done, in flight, failed.
6. Prove it on a 1,000-item batch — one failed item must not sink the run. Do not copy the MVP's TaskRunner, which prints the error and drops the item.",,working,"Michael Max, Parth","SCRUM-1, SCRUM-2, SCRUM-3, SCRUM-5, SCRUM-46, SCRUM-94",shipped
C3,C,P0,BE,I'm told when the AI failed instead of being shown a fake answer,"As a reviewer, I want to know when the AI step failed or was switched off, because a fabricated suggestion I mistake for a real one is worse than no suggestion at all.","1. If the AI step fails or is disabled, the item is clearly marked as having no AI suggestion — the platform never invents one.
2. Where an AI result was incomplete, what was actually returned is shown as-is rather than padded out.
3. The distinction between “AI said this” and “no AI result available” is visible on the review screen.","**Issue 20** (AI failures produce fake annotations disguised as real ones) — the platform currently fabricates fixed bounding boxes on failure and pads short results with more of them, stored as an ordinary draft. This story's first two criteria make that behaviour impossible to keep.","1. Delete the fabricated bounding boxes from _empty_result at gemini_preannotator.py:233 (issue 20).
2. Delete _ensure_min_image_boxes at gemini_preannotator.py:273, which pads real results with invented ones (issue 20).
3. Return a failed assist outcome carrying no annotation, so a failure can never be stored as an ordinary draft.
4. Treat an unparseable model response as a failure, not as a candidate with a placeholder verdict.
5. Show ""no AI suggestion"" as distinct from ""the AI suggested this"" on the review screen.
6. Test that a failing assist leaves the item with no AI draft at all.",20,done,Michael Max,"SCRUM-7, SCRUM-30",shipped
C4,C,P1,BE/FE,I can choose whether the AI annotates first,"As a project manager, I want to choose whether a task is annotated by people only or by the AI first with people reviewing, because the two produce different evidence at a different cost, and results from each must be told apart later.","1. I can select human-only or AI-first when setting up a task.
2. In human-only, no AI suggestion is generated or shown, and the item needs the task's required number of independent human submissions.
3. In AI-first, one successful AI annotation is recorded as the AI model's own version and goes straight to review with no human first pass. It does not count toward the task's human annotator number.
4. Which mode was in force is recorded against the item, so results from different modes can be compared later (see I4).","No open defects — net-new. Neither mode is selectable per task today.
**Client answer, 2026-09-17** — on an AI-assisted task the AI's output is treated as submitted and goes straight to the reviewer, the version's author is the AI model, and no human annotator is involved. That is what AI-first means here.
**Client answer, 2026-09-21** — human-only and AI-first are the annotation production modes. Blind-then-reveal is an evaluation protocol for human judgement, not a third mode, so it moves to **I4**. The AI's first pass is separate from the human annotator count (see **D8**).","1. Add human-only and AI-first to task setup.
2. Route AI-first items straight to review, recording the AI model as the version's author, requiring no human first pass, and outside the human annotator count — SCRUM-46 builds this path.
3. Record the mode in force against each item so results from different modes can be compared later (see I4).
4. Test that a human-only item never receives an AI suggestion, and that none appears in its API responses.",,,,SCRUM-87,shipped
C5,C,P1,BE/FE,"I can record why I decided, not just what I decided","As a reviewer working on a judgement task, I want to record my reasoning alongside my verdict, because the client's stated purpose for collecting human judgement is capturing how people reason — not harvesting yes/no answers.","1. Judgement tasks capture a structured justification alongside the verdict, not an optional comment box.
2. My reasoning is retrievable later, attached to the item and distinct from the verdict itself.
3. Reasoning is carried into the export with the decision it explains.","No open defects — net-new. Client examples of what this must capture: why an AI answer is wrong, why one answer is preferred, how a person broke the problem down.
**Client answer R2-4 (2026-09-24), follow-up F3** — a justification is required for every substantive reviewer action: accept, reject, modify and escalate to dispute. “The reason is part of the judgement/provenance record, not merely UI commentary.” Not configurable.","1. Add a structured rationale alongside verdict on judgement results — required, not an optional comment box.
2. Wire the field into the annotate workspace; task-item-workspace-sheet.tsx:997 already destructures the judgement fields.
3. Keep the reasoning retrievable separately from the verdict it explains.
4. Carry reasoning into the export alongside the decision.
5. Check that reject, modify and escalate refuse an empty justification on the backend, as accept does — required for all four (client, 2026-09-24).",,done,Parth,"SCRUM-31, SCRUM-49",shipped
D1,D,P0,BE,I can't approve my own work,"As a reviewer, I should not be able to approve an item I annotated myself, because a review that one person can perform on their own work is not a review, and any dataset built on it is indefensible.","1. Attempting to review my own annotation is refused, with a clear explanation.
2. Only users holding a reviewer or expert role can perform review actions at all.
3. The same restriction applies to dispute decisions, not just first-line review.","**Issue 7** (annotators can approve their own work) — the review endpoint currently checks only that you belong to the organisation. This story's first two criteria are exactly the two missing checks, so the defect closes as the story lands.","1. Refuse a review when the reviewer created the annotation under review — review_actions.py:206 checks organisation access only (issue 7).
2. Require a reviewer or expert capability to call the review endpoint at all.
3. Apply the same restriction to dispute decisions, not only first-line review.
4. Return a refusal that explains why, rather than a bare 403.
5. Test that an annotator cannot approve their own item and that a reviewer can.",7,,Parth,SCRUM-86,shipped
D2,D,P0,BE,Approval history can't be rewritten behind my back,"As a project manager, I want an approval decision to be permanent and consistent with the item's actual state, because if an approval can be flipped or deleted afterwards, the record of who signed off on what is worthless.","1. There is one way to record a review decision, and it always moves the item's state with it.
2. An existing approval cannot be edited or deleted into a different outcome by an ordinary member.
3. Item state and review history always agree with each other.","**Issue 8** (a second, legacy review API can rewrite approval history) — an older set of endpoints lets any organisation member change or delete a review without touching item status. The “one way to record a decision” criterion requires retiring or locking down that path, which is the fix.","1. Retire or lock the legacy review-mutation endpoints at annotations.py:319, :364 and :426 (issue 8).
2. Make the review-action path the only way to record a decision, and have it always move item status with it.
3. Refuse edits and deletions of an existing review by an ordinary member.
4. Test that item state and review history cannot diverge.",8,done,Jingwei Lin,"SCRUM-29, SCRUM-109",shipped
D3,D,P0,BE,The correction I make is the answer that gets saved,"As a reviewer, when I correct an annotation I want my corrected value to become the stored answer, because at the moment I can correct an item, watch it finalise, and my correction is nowhere in the result.","1. A corrected value submitted with a review replaces the stored answer for that item.
2. Re-opening the item afterwards shows my correction, not the original.
3. The exported dataset carries the corrected value.
4. The original annotation is still visible in the item's history — corrected, not erased.",**Issue 5** (reviewer corrections aren't actually saved) — corrections are currently appended as truncated text to a notes field while the item advances anyway. Criteria 1–3 are unimplementable without fixing this; criterion 4 keeps the fix consistent with the provenance requirement in **F3**.,"1. Stop truncating final_payload into review_notes at review_actions.py:235 (issue 5).
2. Create a superseding annotation version carrying the corrected value.
3. Show the correction, not the original, when the item is reopened.
4. Carry the corrected value into the exported dataset.
5. Keep the original annotation visible in history — corrected, not erased (with F3).
6. Blocked until the client says who authors a reviewer's correction.",5,,,"SCRUM-32, SCRUM-49",shipped
D4,D,P0,BE,I know I'm reviewing the right person's work,"As a reviewer, I want certainty that the annotation in front of me belongs to the annotator it says it does, because on a double-annotated item the platform currently can't reliably tell, and I could approve or reject the wrong person's submission without any sign anything went wrong.","1. Opening an item for review always shows a specific, identified annotator's submission.
2. On an item annotated by two people, both submissions are individually addressable — I never get an arbitrary one of the two.
3. My decision is recorded against the submission I actually looked at.","**Issue 3** (reviewers can get shown the wrong annotator's work) — the “which annotation is current” pick is effectively random on multi-annotator items. This story requires a defined answer, which is the fix; issues.md notes the choice between one canonical annotation per item and per-annotator submissions is a product decision to settle with the client first.
**Issue 11** (draft submission isn't atomic and drafts don't link to their annotation) — the missing draft-to-annotation link is the same root cause reached from the other direction; restoring it is what makes criterion 3 possible.","1. Settle with the client: one canonical annotation per item, or per-annotator submissions with an explicit canonical pick.
2. Replace the effectively random ""latest annotation"" pick with the defined choice (issue 3).
3. Make both submissions individually addressable on a double-annotated item.
4. Record the decision against the submission the reviewer actually opened — impossible while draft.annotation_id is never written, the same root cause as issue 11.
5. Test that a two-annotator item returns a specific, identified submission every time.","3,11",,Jingwei Lin,SCRUM-27,shipped
D5,D,P0,BE,Finalised means finalised,"As a client, I want a finalised result to stay finalised unless someone deliberately reopens it, because a “locked” answer that a later submission can quietly change means no exported label can be defended.","1. Submitting new work against a finalised item is refused, or explicitly reopens review — never silently applied.
2. Reopening a finalised item is a visible, attributable action.
3. A submission either completes fully or not at all — it never leaves an item half-updated.","**Issue 2** (a finalised annotation can be silently overwritten) — currently a new draft updates the same record in place with no check on whether the item is already finalised. Criterion 1 is the missing check.
**Issue 11** (draft submission is not one transaction) — criterion 3 requires the three separate writes involved in submitting work to succeed or fail together.
**Criterion 2 moved to D9 (2026-09-24).** The client's answer R2-3 settled who may reopen — the project owner — so reopening is built as its own story; D5 stands for the refusal and the single transaction.","1. Refuse a draft submission against a canonicalized item instead of updating the annotation row in place — draft_service.py:145 (issue 2).
2. Make submit_draft one transaction; draft status, the annotation and the item status are three separate commits today (issue 11).
3. Persist draft.annotation_id, which is declared on the model and never written (issue 11).
4. Make reopening a finalised item an explicit, attributed action rather than a side effect.
5. Test that a finalised item cannot be changed by a later submission.","2,11",done,Hanchen Wang,"SCRUM-26, SCRUM-28",shipped
D6,D,P0,BE,My unfinished work is mine,"As an annotator, I want my in-progress draft to be editable only by me, because right now anyone in the organisation can change, submit or delete my unfinished work — including submitting it before I'm ready.","1. Only I can edit, delete or submit my own draft.
2. Someone else attempting it is refused, with a clear message.
3. An administrator or reviewer override, if we allow one, is explicit and recorded in the item's history.","**Issue 6** (drafts have no ownership enforcement) — draft access is currently checked against organisation and project membership only, never against who owns the draft. This story's first criterion is that missing check.","1. Check draft ownership on update, delete and submit — drafts.py:158, :192 and :212 check org and project membership only (issue 6).
2. Refuse another member's attempt with a message that says why.
3. Decide whether an administrator override exists; if it does, record it in the item's history.
4. Test that a second organisation member cannot submit someone else's pending draft.",6,done,Hanchen Wang,SCRUM-25,shipped
D7,D,P1,BE,A defined share of items gets independently double-checked,"As a project manager, I want the proportion of items I set in my policy to be routed to a second, independent reviewer, because sampling for cross-validation is how I find out whether my reviewers actually agree.","1. The cross-validation percentage set in B2 determines how many items are routed for a second independent review.
2. The second reviewer cannot see the first reviewer's decision before recording their own.
3. I can see, per task, how many items were double-reviewed and how often the two reviewers agreed.
4. A sampled item does not finalise until its cross-review completes; unsampled items proceed normally.
5. The cross-review counts toward the approvals the policy requires — it does not add a review on top of them.","No open defects — net-new. This is the mechanism the client described (30% independently reviewed) and it feeds the agreement metrics in **I3**.
**Client answer R2-7 (2026-09-24)** — cross-review supplies the second approval rather than stacking on it, and sampled cross-review is a gate, not a post-hoc audit. The AI first pass is never an approval or a reviewer slot, and never becomes canonical without human review.","1. Sample the cross-review percentage set in B2 and place those items in a second-review queue that excludes the first reviewer.
2. Hide the first reviewer's decision from the second until the second is recorded.
3. Report per task how many items were double-reviewed and how often the two reviewers agreed.
4. Depends on D8's queues — there is no queue to place an item in yet. It no longer depends on an assignee: by the decision of 2026-09-17 there is none.",,,Parth,SCRUM-51,shipped
