Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Schema: Fix db setup issues,SCRUM-81,10109,Task,In Progress,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,Yi Geng,712020:e5fd85d6-6a93-421a-98d0-d5e4be368d13,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,07/Sep/26 1:13 PM,09/Sep/26 7:47 PM,09/Sep/26 7:25 PM,,,0,"A3

# Following the documented setup steps produces a running platform with the seeded Admin, Reviewer and Annotator accounts.
# Resetting the demo data works repeatedly, including against an already-seeded database.
# Configuration supplied by a team member (ports, keys, environment) is actually picked up by the platform.
# A setup failure reports what went wrong instead of failing silently or crashing while reporting.

*Issue 24* (init_data.py --reset broken two ways) — the story requires reset to work repeatedly on a stock Windows terminal, which closes both the console-encoding crash and the foreign-key failure that currently leaves the database half-dropped.
*Issue 23* (.env config silently ignored) — “configuration is actually picked up” is the acceptance criterion, so the wrong-prefix and never-read-the-file defects both have to go for this story to pass.",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000h3:,W6,,,,,,10111,SCRUM-83,Trustworthy Foundations,In Progress,07/Sep/26 1:13 PM
Evaluation Harness and Casebook,SCRUM-80,10108,Epic,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,07/Sep/26 3:07 AM,07/Sep/26 11:52 PM,,,,0,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,dark_yellow,0|i000gv:,,,,,,,,,,To Do,07/Sep/26 3:07 AM
Evaluation8: Findings record including negative results,SCRUM-75,10103,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,07/Sep/26 12:06 AM,07/Sep/26 3:07 AM,07/Sep/26 2:21 AM,,,0,"Negative findings tell the client more about the platform's real limits than a list of features that worked, and the brief states plainly that they carry equal weight. Depends on EV2, EV4.

*Subtasks*

# Record the findings, including what failed and why — negative results reported rather than dropped.
# Trace each finding to a specific case so a reader can re-run it.
# Report negative results rather than filtering them out.
# Feed the technical report and the what-did-not-work record from this.

Story *I5* — I can prove the platform's records hold up
Issues none",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000dr:,,,,,,,10108,SCRUM-80,Evaluation Harness and Casebook,To Do,07/Sep/26 12:06 AM
"Evaluation7: Integrity checks on provenance, roles and releases",SCRUM-74,10102,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,07/Sep/26 12:06 AM,07/Sep/26 3:07 AM,07/Sep/26 2:19 AM,,,0,"Integrity claimed is not integrity demonstrated. These are the checks that let someone outside the team verify a release rather than take it on trust. Depends on EV2, F1, H2.

*Subtasks*

# Check that every released item has complete provenance.
# Check that governed actions were performed by users holding the right role.
# Reconstruct a release from its manifest and compare it against the original.
# Fail the check loudly rather than warning, so an integrity gap cannot pass unnoticed.

Story *I5* — I can prove the platform's records hold up
Issues none",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000dj:,,,,,,,10108,SCRUM-80,Evaluation Harness and Casebook,To Do,07/Sep/26 12:06 AM
Evaluation6: Measure what AI assistance does to human judgement,SCRUM-73,10101,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,07/Sep/26 12:05 AM,07/Sep/26 3:07 AM,07/Sep/26 2:21 AM,,,0,"The client's actual question — not whether assistance feels faster, but what it does to the answers people give. Impossible while the suggestion and the decision are collapsed into one value. Depends on EV2, F3, C4.

*Subtasks*

# Report accept, modify and override rates per task.
# Report time per item alongside them.
# Compare results across the execution modes from C4.
# Report how often a confidently wrong suggestion was accepted.
# Impossible unless suggestion and decision stay separate — depends on F3.

Story *I4* — I can see what AI assistance does to human judgement
Issues none",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000db:,,,,,,,10108,SCRUM-80,Evaluation Harness and Casebook,To Do,07/Sep/26 12:05 AM
Evaluation5: Reviewer agreement and AI suggestion quality,SCRUM-72,10100,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,07/Sep/26 12:04 AM,07/Sep/26 3:07 AM,07/Sep/26 2:18 AM,,,0,"Raw percentage match flatters any task where one answer dominates. Report a real coefficient, and report whether the assistant's stated confidence tracks whether it was actually right. Depends on EV2, D7.

*Subtasks*

# Report agreement with an established coefficient rather than raw percentage match.
# Report per task and comparably across tasks.
# Report AI suggestion quality and confidence calibration alongside human agreement.
# Measure against the gold annotations in the fixture sets.
# Depends on D7's cross-validation routing.

Story *I3* — I can tell whether reviewers actually agree
Issues none",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000d3:,,,,,,,10108,SCRUM-80,Evaluation Harness and Casebook,To Do,07/Sep/26 12:04 AM
Evaluation4: Grow the casebook to 40–60 cases,SCRUM-71,10099,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,07/Sep/26 12:04 AM,07/Sep/26 3:07 AM,07/Sep/26 2:18 AM,,,0,"A standing commitment from the week it lands, not a block of work at the end. Assembling the casebook in the final fortnight is the failure the brief warns about by name. Depends on EV3.

*Subtasks*

# Grow toward the 40–60 cases the brief specifies, each ticket contributing the cases for its own surface as it lands.
# Map each workflow surface to the cases it owes.
# Add “lands its own cases” to the definition of done for every feature ticket.
# Backfill cases for the surfaces already built.
# Review the count against the 40–60 target at the weekly meeting.

Story *I2* — The platform is tested against cases designed to break it
Issues none",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000cv:,,,,,,,10108,SCRUM-80,Evaluation Harness and Casebook,To Do,07/Sep/26 12:04 AM
Evaluation3: Casebook structure and the adversarial categories,SCRUM-70,10098,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,07/Sep/26 12:03 AM,07/Sep/26 3:08 AM,07/Sep/26 2:18 AM,,,0,"The seven categories the brief names, written as real cases against the gold fixture datasets. A system demonstrated on easy items proves nothing about the ones that matter. Depends on EV1.

*Subtasks*

# Write the adversarial categories the brief names, starting with a confidently wrong AI suggestion.
# Cover a genuinely ambiguous item, and reviewers who disagree with no guideline resolution.
# Cover a guideline changed after annotation, and an item with missing provenance.
# Cover an unreviewed item reaching a proposed release, and a release containing a superseded item.
# Use the gold fixtures in labeling_ai_assistnat_mvp/app/data/text/ — four 200-item sets with ground truth, already shaped in hej's own vocabulary.
# Define the case template — inputs, steps, expected outcome, category.

Story *I2* — The platform is tested against cases designed to break it
Issues none",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000cn:,,,,,,,10108,SCRUM-80,Evaluation Harness and Casebook,To Do,07/Sep/26 12:03 AM
Evaluation2: Repeatable runs and regression reporting,SCRUM-69,10097,Task,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,07/Sep/26 12:03 AM,07/Sep/26 3:08 AM,07/Sep/26 2:18 AM,,,0,"A run that cannot be repeated proves nothing, and a result nobody can compare hides regressions rather than revealing them. Depends on EV1, A3.

*Subtasks*

# Keep results comparable across runs so a regression is visible.
# Reset to a clean seeded database between runs — depends on A3.
# Script the mock assistant's responses so a scenario has one correct outcome.
# Emit a machine-readable result per case alongside the human summary.
# Give each case a stable id and diff a run against the previous one.

Story *I1* — I can re-run the whole workflow against known cases
Issues none",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000cf:,,,,,,,10108,SCRUM-80,Evaluation Harness and Casebook,To Do,07/Sep/26 12:03 AM
Evaluation1: Scenario harness that drives the workflow end to end,SCRUM-68,10096,Task,In Progress,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,07/Sep/26 12:02 AM,07/Sep/26 1:20 PM,07/Sep/26 1:09 PM,,,0,"Testing individual pieces says nothing about whether the workflow holds together. This is the runner and the step vocabulary it executes — project, policy, task, items, AI pass, annotate, review, dispute, adjudicate, release.

*Subtasks*

# Build a harness that drives a scenario end to end without manual clicking.
# Cover annotation, review, cross-validation, dispute and final judgement in a single run.
# State the expected outcome per scenario and report pass or fail.
# Define the scenario file format — named steps plus the outcome each one expects.
# Have steps act as distinct seeded users, so role separation is exercised rather than bypassed.
# Prove the loop with one trivial scenario before any real cases are written.

Story *I1* — I can re-run the whole workflow against known cases
Issues none",,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000c1:,,,,,,,10108,SCRUM-80,Evaluation Harness and Casebook,In Progress,07/Sep/26 3:06 AM
"Release: Show real releases, policy and history on the project screens",SCRUM-67,10095,Subtask,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,06/Sep/26 11:36 PM,06/Sep/26 11:36 PM,,,,0,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000bz:,,,,,,,10070,SCRUM-42,Release & Export: Basic functionality,To Do,06/Sep/26 11:36 PM
Release: Refuse a release that fails its pre-release checks,SCRUM-66,10094,Subtask,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,06/Sep/26 11:36 PM,06/Sep/26 11:36 PM,,,,0,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000br:,,,,,,,10070,SCRUM-42,Release & Export: Basic functionality,To Do,06/Sep/26 11:36 PM
Release: Produce a manifest for every release,SCRUM-65,10093,Subtask,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,06/Sep/26 11:36 PM,06/Sep/26 11:36 PM,,,,0,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000bj:,,,,,,,10070,SCRUM-42,Release & Export: Basic functionality,To Do,06/Sep/26 11:36 PM
Release: Create an immutable release artefact,SCRUM-64,10092,Subtask,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,06/Sep/26 11:36 PM,06/Sep/26 11:36 PM,,,,0,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000bb:,,,,,,,10070,SCRUM-42,Release & Export: Basic functionality,To Do,06/Sep/26 11:36 PM
Provenance: Show an item's whole timeline on one screen,SCRUM-63,10091,Subtask,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,06/Sep/26 11:34 PM,06/Sep/26 11:34 PM,,,,0,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000b3:,,,,,,,10067,SCRUM-39,Provenance: Item-level provenance timeline,To Do,06/Sep/26 11:34 PM
Provenance: Record the production history of every label,SCRUM-62,10090,Subtask,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,06/Sep/26 11:34 PM,06/Sep/26 11:34 PM,,,,0,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000av:,,,,,,,10067,SCRUM-39,Provenance: Item-level provenance timeline,To Do,06/Sep/26 11:34 PM
Dispute: Connect the dispute and arbitration screens,SCRUM-61,10089,Subtask,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,06/Sep/26 11:33 PM,06/Sep/26 11:33 PM,,,,0,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000an:,,,,,,,10064,SCRUM-36,Dispute: Basic Functionality ,To Do,06/Sep/26 11:33 PM
Dispute: Make the escalation posture configurable and enforced,SCRUM-60,10088,Subtask,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,06/Sep/26 11:33 PM,06/Sep/26 11:33 PM,,,,0,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000af:,,,,,,,10064,SCRUM-36,Dispute: Basic Functionality ,To Do,06/Sep/26 11:33 PM
Dispute: Keep the disagreement after the dispute is resolved,SCRUM-59,10087,Subtask,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,06/Sep/26 11:33 PM,06/Sep/26 11:33 PM,,,,0,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i000a7:,,,,,,,10064,SCRUM-36,Dispute: Basic Functionality ,To Do,06/Sep/26 11:33 PM
Dispute: Record an expert adjudication as its own decision,SCRUM-58,10086,Subtask,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,06/Sep/26 11:33 PM,06/Sep/26 11:33 PM,,,,0,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i0009z:,,,,,,,10064,SCRUM-36,Dispute: Basic Functionality ,To Do,06/Sep/26 11:33 PM
Dispute: Detect reviewer disagreement automatically,SCRUM-57,10085,Subtask,To Do,SCRUM,CS-57,software,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,Medium,,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,06/Sep/26 11:31 PM,06/Sep/26 11:31 PM,06/Sep/26 11:33 PM,,,0,,,Jason Wang,712020:93390656-829d-45f1-9908-d965a5930c17,,,,,,,,,,,0|i0009r:,,,,,,,10064,SCRUM-36,Dispute: Basic Functionality ,To Do,06/Sep/26 11:31 PM
